Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,7.733333,8.000000,7.626666,7.853333,7.479590,63388254
2018-07-12,7.906666,8.200000,7.840000,8.080000,7.695472,50946265
2018-07-13,8.253333,8.280000,8.080000,8.133333,7.746266,39600009
2018-07-16,8.133333,8.306666,8.093333,8.186666,7.797059,34715763
2018-07-17,8.186666,8.240000,7.933333,7.946666,7.568481,37257474
2018-07-18,7.986666,8.226666,7.986666,8.146666,7.758964,30879105
2018-07-19,8.213333,8.213333,7.840000,7.880000,7.504989,31436673
2018-07-20,7.813333,7.920000,7.600000,7.773333,7.403399,58058884
2018-07-23,7.826666,7.826666,7.266666,7.586666,7.225615,85561551
2018-07-24,7.493333,7.666666,7.333333,7.373333,7.022435,83293188
2018-07-25,7.533333,7.626666,7.426666,7.506666,7.149421,50003346
2018-07-26,7.586666,7.733333,7.520000,7.680000,7.314507,52647738
2018-07-27,7.693333,7.693333,7.466666,7.600000,7.238314,26569629
2018-07-30,7.506666,7.600000,7.226666,7.373333,7.022435,50149261
2018-07-31,7.360000,7.426666,7.106666,7.146666,6.806554,49885216
2018-08-01,7.160000,7.426666,7.120000,7.226666,6.882746,42754380
2018-08-02,7.333333,7.333333,6.920000,7.186666,6.844652,54426235
2018-08-03,7.093333,7.240000,6.773333,6.880000,6.552579,52928409
2018-08-06,6.880000,7.186666,6.333333,6.426666,6.120819,134202567
2018-08-07,6.513333,6.800000,6.446666,6.720000,6.400193,103942956
2018-08-08,6.813333,6.866666,6.620000,6.840000,6.514482,70053529
2018-08-09,6.813333,7.080000,6.720000,6.973333,6.641470,79840368
2018-08-10,6.920000,7.200000,6.773333,6.906666,6.577976,64455007
2018-08-13,7.146666,7.293333,7.026666,7.186666,6.844652,125873436
2018-08-14,7.186666,7.253333,6.660000,6.800000,6.476387,130322724
2018-08-15,6.706666,6.773333,6.220000,6.346666,6.044627,155549565
2018-08-16,6.173333,6.500000,6.133333,6.240000,5.943037,112031125
2018-08-17,6.353333,6.433333,5.666666,6.000000,5.714459,278392177
2018-08-20,6.000000,6.080000,5.720000,5.906666,5.625566,126512565
2018-08-21,5.986666,6.406666,5.960000,6.333333,6.031928,152394802
2018-08-22,6.493333,6.633333,5.893333,6.213333,5.917638,151026285
2018-08-23,6.200000,6.553333,6.000000,6.520000,6.209712,125726095
2018-08-24,6.413333,6.960000,6.413333,6.733333,6.412892,120980857
2018-08-27,6.826666,7.040000,6.720000,6.973333,6.641470,85688004
2018-08-28,7.200000,7.213333,6.706666,6.813333,6.489085,73551900
2018-08-29,6.760000,6.893333,6.633333,6.880000,6.552579,40104507
2018-08-30,6.933333,6.946666,6.620000,6.660000,6.343048,43175754
2018-08-31,6.500000,6.786666,6.373333,6.626666,6.311302,109895550
2018-09-03,6.646666,6.646666,6.273333,6.433333,6.127169,61294264
2018-09-04,6.420000,6.666666,6.340000,6.653333,6.336699,56240679
2018-09-05,6.573333,6.593333,6.340000,6.433333,6.127169,61611072
2018-09-06,6.353333,6.493333,6.133333,6.293333,5.993832,87799291
2018-09-07,6.313333,6.386666,6.146666,6.160000,5.866844,228273081
2018-09-10,6.073333,6.113333,5.920000,5.980000,5.695411,239065261
2018-09-11,5.933333,6.013333,5.773333,5.840000,5.574502,90911022
2018-09-12,5.740000,5.806666,4.926666,5.000000,4.772689,274306758
2018-09-13,5.186666,5.186666,4.646666,4.920000,4.696326,326949369
2018-09-14,5.000000,5.113333,4.900000,4.953333,4.728144,166293816
2018-09-17,4.833333,4.946666,4.706666,4.753333,4.537238,84617020
2018-09-18,4.733333,4.946666,4.620000,4.880000,4.658146,131780458
2018-09-19,4.900000,5.113333,4.840000,5.006666,4.779053,118641897
2018-09-20,5.060000,5.133333,4.833333,4.926666,4.702690,72400527
2018-09-21,4.966666,5.173333,4.906666,5.146666,4.912688,111559497
2018-09-24,5.086666,5.086666,4.913333,5.026666,4.798144,58809648
2018-09-26,4.980000,5.213333,4.980000,5.053333,4.823599,80897157
2018-09-27,5.046666,5.080000,4.860000,4.966666,4.740871,79953255
2018-09-28,5.040000,5.040000,4.813333,4.866666,4.645419,58615273
2018-10-02,4.873333,4.986666,4.733333,4.740000,4.524510,67471497
2018-10-03,4.666666,4.813333,4.600000,4.633333,4.422692,67399378
2018-10-04,4.580000,4.600000,4.440000,4.500000,4.295421,77437870
2018-10-05,4.413333,4.560000,4.406666,4.513333,4.308147,67709853
2018-10-08,4.533333,4.573333,4.333333,4.340000,4.142695,107581200
2018-10-09,4.333333,4.446666,4.313333,4.366666,4.168149,63943590
2018-10-10,4.413333,4.573333,4.360000,4.366666,4.168149,59638717
2018-10-11,4.066666,4.226666,4.020000,4.126666,3.939060,104073153
2018-10-12,4.166666,4.400000,4.106666,4.340000,4.142695,117482184
2018-10-15,4.406666,4.600000,4.400000,4.486666,4.282694,107210269
2018-10-16,4.573333,4.600000,4.400000,4.446666,4.244512,53426610
2018-10-18,4.566666,4.566666,4.353333,4.386666,4.187240,53250256
2018-10-19,4.300000,4.553333,4.273333,4.453333,4.250876,100569162
2018-10-22,4.506666,4.960000,4.506666,4.926666,4.702690,136245001
2018-10-23,4.833333,4.893333,4.580000,4.606666,4.397237,90721465
2018-10-24,4.660000,4.833333,4.580000,4.660000,4.448147,77134129
2018-10-25,4.506666,4.740000,4.406666,4.733333,4.518147,83382211
2018-10-26,4.753333,4.786666,4.500000,4.560000,4.352693,66437178
2018-10-29,4.600000,4.626666,4.353333,4.413333,4.212694,47308531
2018-10-30,4.433333,4.613333,4.326666,4.486666,4.282694,45893928
2018-10-31,4.580000,4.753333,4.520000,4.686666,4.473602,74139484
2018-11-01,4.753333,5.033333,4.740000,4.920000,4.696326,107863597
2018-11-02,5.420000,5.460000,5.133333,5.460000,5.211777,186507205
2018-11-05,5.300000,5.380000,5.166666,5.286666,5.046324,84602044
2018-11-06,5.340000,5.473333,5.200000,5.473333,5.224504,72608418
2018-11-07,5.460000,5.606666,5.400000,5.460000,5.211777,76907604
2018-11-08,5.586666,5.620000,5.340000,5.400000,5.154505,45815569
2018-11-09,5.313333,5.386666,5.226666,5.260000,5.020870,56059278
2018-11-12,5.226666,5.360000,5.173333,5.340000,5.097233,40277400
2018-11-13,5.173333,5.386666,5.073333,5.386666,5.141777,45402232
2018-11-14,5.506666,5.506666,5.100000,5.146666,4.912688,68145387
2018-11-15,5.000000,5.046666,4.786666,4.953333,4.728144,158075818
2018-11-16,4.940000,4.953333,4.746666,4.906666,4.683598,102314221
2018-11-19,4.913333,5.013333,4.886666,5.006666,4.779053,70927650
2018-11-20,4.966666,4.966666,4.786666,4.793333,4.575418,45523630
2018-11-21,4.733333,4.980000,4.720000,4.960000,4.734509,49517247
2018-11-22,4.960000,4.960000,4.713333,4.713333,4.499055,75780598
2018-11-23,4.500000,4.713333,4.500000,4.713333,4.499055,82483500
2018-11-26,4.746666,4.846666,4.733333,4.793333,4.575418,38379753
2018-11-27,4.813333,4.846666,4.666666,4.820000,4.600873,36413139
2018-11-28,4.880000,4.980000,4.820000,4.946666,4.721780,58142469
2018-11-29,5.006666,5.020000,4.720000,4.733333,4.518147,80239879
2018-11-30,4.746666,4.900000,4.746666,4.760000,4.543601,75799650
2018-12-03,4.893333,5.020000,4.833333,4.873333,4.651782,110734347
2018-12-04,4.873333,4.900000,4.786666,4.820000,4.600873,131162719
2018-12-05,4.746666,4.746666,4.633333,4.633333,4.434960,116448052
2018-12-06,4.566666,4.606666,3.806666,3.893333,3.726643,395251110
2018-12-07,3.760000,3.800000,3.393333,3.586666,3.433106,614089263
2018-12-10,3.533333,3.673333,3.446666,3.526666,3.375674,178475460
2018-12-11,3.553333,3.646666,3.486666,3.613333,3.458631,138259905
2018-12-12,3.646666,3.660000,3.573333,3.593333,3.439487,102722535
2018-12-13,3.580000,3.666666,3.520000,3.646666,3.490537,77665480
2018-12-14,3.593333,3.606666,3.440000,3.473333,3.324625,98745394
2018-12-17,3.466666,3.533333,3.386666,3.500000,3.350150,64862308
2018-12-18,3.486666,3.633333,3.466666,3.553333,3.401200,60855894
2018-12-19,3.553333,3.586666,3.440000,3.466666,3.318244,61999134
2018-12-20,3.460000,3.486666,3.346666,3.393333,3.248050,92797176
2018-12-21,3.346666,3.413333,3.326666,3.386666,3.241668,87776446
2018-12-24,3.340000,3.433333,3.306666,3.433333,3.286337,27079632
2018-12-27,3.466666,3.500000,3.300000,3.333333,3.190619,59406552
2018-12-28,3.340000,3.420000,3.320000,3.393333,3.248050,39410562
2018-12-31,3.440000,3.453333,3.360000,3.440000,3.292719,29776149
2019-01-02,3.460000,3.460000,3.253333,3.313333,3.171475,61352448
